pt,purity,purity_err,efficiency,efficiency_err,n_edges,n_edges_err,n_nodes,n_nodes_err
#2,0.984,0.006,0.414,0.047,2080,557,1093,180
#1.9,0.985,0.005,0.331,0.041,1253,203,2997,826
#1.8,0.986,0.005,0.250,0.033,1444,229,4595,1289
#1.5,0.984,0.004,0.270,0.033,6629,1801,2256,353
#1,0.981,0.003,0.141,0.018,29847,7993,5294,766
#0.75,0.980,0.003,0.073,0.010,96668,25399,8865,1210
#0.6,0.977,0.002,0.053,0.007,188298,47704,12587,1633
#0.5,0.973,0.002,0.042,0.005,302023,74447,16100,2026
2,0.987,0.005,0.198,0.034,4429,1269,1091,163
1.9,0.986,0.005,0.206,0.033,4880,1359,1253,184
1.8,0.986,0.004,0.163,0.027,7122,1996,1449,212
1.7,0.987,0.004,0.148,0.024,9109,2577,1679,249
1.6,0.987,0.004,0.132,0.020,11819,3286,1951,286
1.5,0.987,0.003,0.118,0.017,15445,4248,2270,328
1.4,0.987,0.003,0.097,0.013,21776,5569,2656,362
1.3,0.987,0.003,0.080,0.011,31297,7984,3142,426
1.2,0.987,0.003,0.066,0.009,44986,11083,3714,479
1.1,0.987,0.003,0.053,0.007,66339,16655,4429,573
1,0.987,0.002,0.043,0.005,99304,24576,5332,685
0.9,0.987,0.002,0.033,0.004,154917,37454,6456,805
0.8,0.987,0.002,0.023,0.003,276199,67727,8006,976
0.7,0.987,0.002,0.016,0.002,502262,121698,10023,1203
0.6,0.987,0.001,0.013,0.002,789633,186527,12700,1494
0.5,0.987,0.001,0.010,0.001,1266130,290666,16246,1865


